Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",0,4.20,Plume,Paperback,368,2022,1948,,2025/10/18,to-read,to-read (#2),to-read,,,,0,0
242873033,Who the F**k are You: A Polite Book about Finding Your Unfair Advantage and Making it Impossible to Ignore,Harinder Singh Pelia,"Pelia, Harinder Singh",,"=""9373034979""","=""9789373034973""",0,4.50,Penguin Business,Kindle Edition,167,2025,,,2025/10/18,to-read,to-read (#1),to-read,,,,0,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",5,4.13,Ballantine Books,Hardcover,342,2016,2016,2023/08/03,2022/05/15,,,read,,,,1,0
58588425,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",Vikas Adam,"=""""","=""""",0,4.38,Author’s Republic,Audible Audio,5,2021,2020,,2023/08/01,,,read,,,,1,0
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",0,4.02,Signet Classics,Mass Market Paperback,141,1996,1945,2025/10/18,2025/10/18,,,read,,,,1,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",0,3.65,Picador,Paperback,283,2019,2015,2025/10/18,2025/10/18,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Isle Lasch, William J. Winslade, Harold S. Kushner","=""080701429X""","=""9780807014295""",0,4.37,Beacon Press,Paperback,165,2006,1946,2025/10/18,2025/10/18,,,read,,,,1,0
55196813,"The Maid (Molly the Maid, #1)",Nita Prose,"Prose, Nita",,"=""0593356152""","=""9780593356159""",0,3.75,Ballantine Books,Hardcover,289,2022,2022,,2023/07/31,,,read,,,,1,0
22535533,"Moriarty (Horowitz's Holmes, #2)",Anthony Horowitz,"Horowitz, Anthony",,"=""0062377183""","=""9780062377180""",4,3.80,Harper,Hardcover,285,2014,2014,2023/07/25,2022/05/24,,,read,,,,1,0
43382084,Creativity Code,Marcus du Sautoy,"Sautoy, Marcus du",,"=""0008288151""","=""9780008288150""",4,3.95,4th Estate,Hardcover,336,2019,2019,2022/08/10,2022/05/24,,,read,,,,1,0
68984,The Power of Your Subconscious Mind,Joseph Murphy,"Murphy, Joseph",Ian McMahon,"=""0553583182""","=""9780553583182""",4,4.06,Bantam,Mass Market Paperback,304,2001,1963,,2022/07/14,,,read,,,,2,0
1319,The War of Art,Steven Pressfield,"Pressfield, Steven",Robert McKee,"=""""","=""""",5,3.97,Warner Books,Paperback,168,2003,2002,2022/06/30,2022/06/28,,,read,,,,1,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",4,4.12,Ecco,Hardcover,392,2015,2015,2022/06/28,2022/06/28,,,read,,,,1,0
59616977,Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"Forte, Tiago",,"=""1982167386""","=""9781982167387""",3,4.03,Simon Element / Simon Acumen,Hardcover,272,2022,2022,2022/01/01,2022/06/22,,,read,,,,1,0
58744977,"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,"Dave, Laura",,"=""""","=""""",4,3.83,Simon & Schuster,Hardcover,306,2021,2021,2022/05/31,2022/05/15,,,read,The entire book was great however i felt the ending was a bit rushed. The writer created a perfect visuals the entire time but kind if rushed it to the end ,,,1,0
11093329,"The House of Silk (Horowitz's Holmes, #1)",Anthony Horowitz,"Horowitz, Anthony",,"=""0316196991""","=""9780316196994""",5,4.01,Mulholland Books,Hardcover,294,2011,2011,2022/05/24,2022/05/15,,,read,,,,1,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""0786838655""","=""9780786838653""",4,4.31,Disney Hyperion Books,Paperback,377,2006,2005,2022/01/01,2022/05/15,,,read,"Great book , easy to read a creates great visuals of greek mythology",,,1,0
24709327,"Scion of Ikshvaku (Ram Chandra, #1)",Amish Tripathi,"Tripathi, Amish",,"=""9385152149""","=""9789385152146""",3,3.86,Westland Publication,Paperback,354,2015,2015,2022/03/01,2022/05/15,,,read,,,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",4,3.92,HarperOne,Paperback,182,2014,1988,2022/03/01,2022/05/15,,,read,"Great book , easy to grasp and tries to establish the same idea with life of a shepherd",,,1,0
107664,"Raven's Gate (Power of Five, #1)",Anthony Horowitz,"Horowitz, Anthony",,"=""0439680093""","=""9780439680097""",4,3.90,Scholastic,Paperback,270,2006,2005,2022/04/01,2022/05/15,,,read,Great book with great development of characters and establishes great visuals of the entire setting,,,1,0
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"Riordan, Rick",,"=""0786856866""","=""9780786856862""",4,4.24,Hyperion Books,Hardcover,279,2006,2006,2022/04/22,2022/05/15,,,read,"Great book , easy to read a creates great visuals of greek mythology",,,1,0
